Num,TU1,TU2,TU3,TU4,TU5,TU6,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU14,TU15,TU16,TU17,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,TD10,TD11,TD12,TD13,TD14,TD15,TD16,TD17
1,285.6118560185593,341.59548576089895,431.55123994446353,512.0347951268302,573.6969268982124,654.6533463578605,736.5632745176472,837,837,837,837,837,837,837,837,837,750,211.05380538133272,304.4530310161258,400,500,524.008095706662,600,720,837,837,837,837,837,837,837,837,837,750
2,282.72642420345727,338.4132567716504,431.20115938783607,512.1065959950432,573.9945426533711,655.1227790729632,737.9361710300446,837,837,837,837,837,837,837,837,837,750,212.0096825938891,304.0683480578499,400,500,522.6236790851966,600,720,837,837,837,837,837,837,837,837,837,750
3,284.41527636569634,339.45205877910666,430.6050153956323,512.1065959950432,573.9945426533711,655.1227790729632,738.138686944998,837,837,837,837,837,837,837,837,837,750,212.0096825938891,304.2609002171214,400,500,522.6432696682808,600,720,837,837,837,837,837,837,837,837,837,750
4,282.77577149384064,338.00946542498724,431.338643486446,512.0729749728642,573.9945426533711,655.1227790729632,738.1590527129767,837,837,837,837,837,837,837,837,837,750,211.9365674062946,304.2535577059,400,500,521.1703577920368,600,720,837,837,837,837,837,837,837,837,837,750
5,285.68012644502966,338.0802508811477,430.898000408828,513.3250075221663,573.622365813323,654.3775618601483,737.1698681193097,837,837,837,837,837,837,837,837,837,750,212.02258353611066,304.05777569722,400,500,521.9526539524534,600,720,837,837,837,837,837,837,837,837,837,750
6,284.2550995730971,338.9219949802944,430.3018564166242,512.2055758649511,573.9945426533711,655.1355685536888,737.9746021002032,837,837,837,837,837,837,837,837,837,750,212.02258353611066,304.2535577059,400,500,522.4734880490585,600,720,837,837,837,837,837,837,837,837,837,750
7,282.7458350287005,337.92812028553743,430.49690265623957,512.2114667716758,573.6861241147077,654.2717273231394,738.5918972274911,837,837,837,837,837,837,837,837,837,750,211.9978615496693,304.2535577059,400,500,521.50684741823,600,720,837,837,837,837,837,837,837,837,837,750
8,282.60081126047066,338.5179606706851,431.09304664844336,512.0876157630985,573.9945426533711,655.1268332848271,737.2107564952764,837,837,837,837,837,837,837,837,837,750,211.9978615496693,304.4742883811353,400,500,521.888206300357,600,720,837,837,837,837,837,837,837,837,837,750
9,280.71061525699776,337.8283374060213,426.98700868500686,506.90580207190436,571.6987259121065,658.1212275242407,737.9236014790366,837,837,837,837,837,837,837,837,837,750,203.67614007601745,303.6017532973626,400,500,520.5049486894821,600,720,837,837,837,837,837,837,837,837,837,750
10,284.1020848038881,338.9219949802944,430.33122777584146,512.628710823635,574.1374612341765,655.2791508244104,738.2259097621678,837,837,837,837,837,837,837,837,837,750,211.94222324757405,304.4914271183861,400,500,521.9910592353656,600,720,837,837,837,837,837,837,837,837,837,750
